feature,reason,detail
BALANCE_CHANGE_1M,high correlation,|r| > 0.85
BALANCE_GROWTH_RATE,high correlation,|r| > 0.85
BALANCE_TO_LIMIT,high correlation,|r| > 0.85
BILL_AMT2,high correlation,|r| > 0.85
BILL_AMT3,high correlation,|r| > 0.85
BILL_AMT4,high correlation,|r| > 0.85
BILL_AMT6,high correlation,|r| > 0.85
MONTHS_PAID_FULL,high correlation,|r| > 0.85
NET_DEBT_ACCUMULATION,high correlation,|r| > 0.85
PAY_AMT_VELOCITY,high correlation,|r| > 0.85
PAY_RATIO_STD,high correlation,|r| > 0.85
STD_MONTHLY_PAYMENT,high correlation,|r| > 0.85
UTIL_1,high correlation,|r| > 0.85
UTIL_2,high correlation,|r| > 0.85
UTIL_3,high correlation,|r| > 0.85
UTIL_4,high correlation,|r| > 0.85
UTIL_5,high correlation,|r| > 0.85
UTIL_6,high correlation,|r| > 0.85
UTIL_LATEST,high correlation,|r| > 0.85
UTIL_MAX,high correlation,|r| > 0.85
UTIL_MEAN,high correlation,|r| > 0.85
PAY_3,high VIF,VIF = inf
PAY_AMT1,high VIF,VIF = inf
PAY_AMT2,high VIF,VIF = inf
PAY_RATIO_1,high VIF,VIF = inf
BILL_AMT1,high VIF,VIF = 44.7
PAY_RATIO_MEAN,high VIF,VIF = 24.7
AGE,high VIF,VIF = 17.9
TOTAL_DELINQUENCY_SCORE,high VIF,VIF = 13.2
AVG_MONTHLY_PAYMENT,high VIF,VIF = 12.6
PAY_6,high VIF,VIF = 11.4
